feature,zafra_norm,split,category_value,rows,actual_tch_sum,pred_tch_sum,tch_sum_diff,tch_sum_pct_diff,actual_tch_mean,pred_tch_mean,tch_bias,tch_mae,tch_rmse,is_anomaly_zafra
prod_familia_de_suelo,2023_2024,validation,FRANCA GRUESA + FINA/ARENOSA,102,12652.930000000002,13381.423268120598,728.4932681205955,0.057575065073512253,124.04833333333336,131.19042419726077,7.142090863927451,13.665369556952145,17.113625593454948,True
prod_familia_de_suelo,2023_2024,validation,FRANCA FINA + FRANCA FINA/ARENOSA,96,10379.51,10775.21836328641,395.70836328641053,0.03812399268235307,108.11989583333333,112.24185795090011,4.121962117566777,16.33115707209669,21.263718941684452,True
prod_familia_de_suelo,2023_2024,validation,MEDIAL/FRANCA,96,8776.75,9330.853089132517,554.1030891325172,0.06313306054433784,91.42447916666667,97.19638634513039,5.771907178463725,10.482745584193431,12.992814246663393,True
prod_familia_de_suelo,2023_2024,validation,FRANCA FINA,73,7808.64,8661.407544631278,852.7675446312778,0.10920820330189096,106.96767123287671,118.64941841960655,11.68174718672984,15.789208357392285,21.93928460889268,True
prod_familia_de_suelo,2023_2024,validation,FRANCA GRUESA + FRANCA FINA/ARENOSA,70,7981.099999999999,8291.394981939318,310.29498193931886,0.03887872372722042,114.01571428571428,118.44849974199026,4.432785456275964,13.72810220236096,17.81763380711044,True
prod_familia_de_suelo,2023_2024,validation,FRANCA GRUESA + ARENOSA,66,7976.36,8439.612212606306,463.2522126063059,0.05807814750165563,120.85393939393938,127.87291231221676,7.018972918277336,17.34010681850309,21.365044255098404,True
prod_familia_de_suelo,2023_2024,validation,MEDIAL/ESQUELETAL FRANCA,51,4517.4800000000005,4648.822904228815,131.3429042288144,0.029074374259280483,88.57803921568629,91.15339027899637,2.5753510633100953,13.440781362451572,17.801468409483608,True
prod_familia_de_suelo,2023_2024,validation,FRANCA GRUESA + FRANCA FINA,46,4083.46,4524.392555247749,440.9325552477494,0.10798013333000676,88.7708695652174,98.35635989669021,9.585490331472808,15.911303086371843,20.74397704601469,True
prod_familia_de_suelo,2023_2024,validation,FRANCA FINA/ARCILLOSA,45,3754.0299999999997,4306.078892823275,552.0488928232753,0.14705500297634153,83.42288888888888,95.69064206273944,12.267753173850553,17.884332576996886,21.150430296614,True
prod_familia_de_suelo,2023_2024,validation,FINA + FRANCA GRUESA,42,4505.870000000001,4982.431166971448,476.56116697144716,0.10576451761179241,107.28261904761906,118.62931349932019,11.346694451701163,16.370751135567254,19.125679632079112,True
prod_familia_de_suelo,2023_2024,validation,FRANCA GRUESA + MEDIAL,34,3692.3499999999995,3809.7348219446085,117.38482194460903,0.031791358334017375,108.59852941176469,112.05102417484143,3.452494763076709,11.474193919958722,13.79157684011526,True
prod_familia_de_suelo,2023_2024,validation,FRANCA FINA/ARENOSA,31,3617.419999999999,3803.569321706259,186.1493217062598,0.05145913985831334,116.69096774193545,122.69578457116964,6.004816829234169,11.384701873984692,13.779977302331016,True
prod_familia_de_suelo,2023_2024,validation,MEDIAL + MEDIAL/ESQUELETAL,29,2643.69,2792.2868522474723,148.59685224747227,0.056208122831145964,91.16172413793103,96.28575352577491,5.124029387843898,11.926395481323969,14.250926405153955,True
prod_familia_de_suelo,2023_2024,validation,MEDIAL + ARCILLOSA,24,2359.38,2504.3878390277528,145.00783902775265,0.06146014589754624,98.3075,104.34949329282303,6.041993292823025,14.92530050247808,17.700527045635933,True
prod_familia_de_suelo,2023_2024,validation,FRANCA GRUESA + FRANCA GRUESA,22,2444.9499999999994,2487.8540571972753,42.90405719727596,0.017548030510757262,111.13409090909089,113.08427532714887,1.9501844180579981,11.61783181876308,15.13488476718359,True
prod_familia_de_suelo,2023_2024,validation,FRANCA FINA + FRANCA FINA/ARCILLOSA,16,1737.7,1801.9385106804475,64.23851068044746,0.036967549450680474,108.60625,112.62115691752797,4.014906917527962,13.695629260056275,18.110247412205876,True
prod_familia_de_suelo,2023_2024,validation,MEDIAL/ESQUELETAL FRANCA + MEDIAL,11,731.1,934.8446684452482,203.74466844524818,0.27868235322835205,66.46363636363637,84.98587894956802,18.52224258593165,18.52224258593165,21.54904151630061,True
prod_familia_de_suelo,2023_2024,validation,MEDIAL/ARCILLOSA + MEDIAL,10,966.71,897.5658424693847,-69.1441575306153,-0.07152523252124764,96.671,89.75658424693847,-6.914415753061531,14.616858076694859,16.43114111374127,True
prod_familia_de_suelo,2023_2024,validation,ARENOSA + ARENOSA,7,968.7,912.1662879780164,-56.53371202198366,-0.05836039230100512,138.3857142857143,130.3094697111452,-8.076244574569099,9.795146166195005,11.336005974763879,True
prod_familia_de_suelo,2023_2024,validation,FRANCA FINA/ESQUELETAL FRANCA,7,828.41,635.1875047913808,-193.2224952086192,-0.23324500574428025,118.3442857142857,90.7410721130544,-27.603213601231317,27.603213601231317,28.2454161194415,True
prod_familia_de_suelo,2023_2024,validation,FRANCA FINA/ARCILLOSA + FRANCA FINA,5,364.5,423.2240098140049,58.72400981400489,0.16110839455145373,72.9,84.64480196280098,11.744801962800986,11.744801962800986,14.865079239043979,True
prod_familia_de_suelo,2023_2024,validation,FRANCA GRUESA + MEDIAL/FRANCA,1,120.82,117.3392272361304,-3.480772763869595,-0.028809574274702824,120.82,117.3392272361304,-3.480772763869595,3.480772763869595,3.480772763869595,True
prod_grupo_de_humedad,2023_2024,validation,2.0,1710,161830.49,178403.4674713336,16572.97747133361,0.10240948705854878,94.6377134502924,104.32951314113076,9.691799690838353,15.950624740639155,19.48492109600392,True
prod_grupo_de_humedad,2023_2024,validation,,1618,165096.84000000003,184778.69353274195,19681.853532741923,0.11921399302822465,102.03760197775033,114.20191194854262,12.164309970792285,17.096765733395433,21.045283514227656,True
prod_grupo_de_humedad,2023_2024,validation,3.0,1206,123990.35,134660.0697484105,10669.719748410484,0.08605282385613464,102.81123548922056,111.65843262720604,8.847197137985482,15.050137908558147,19.091672873770634,True
prod_grupo_de_humedad,2023_2024,validation,4.0,967,105458.73999999999,115063.25952592355,9604.519525923562,0.09107371779639661,109.05764219234746,118.9899271209137,9.932284928566238,16.16534635687765,19.993627957794164,True
prod_grupo_de_humedad,2023_2024,validation,5.0,547,61544.58,67046.28398124107,5501.703981241066,0.08939380171643166,112.5129433272395,122.57090307356685,10.057959746327352,17.30436979500337,21.901034982331623,True
prod_grupo_de_humedad,2023_2024,validation,1.0,154,14196.69,14223.724831606614,27.034831606613807,0.0019043052716241466,92.18629870129871,92.3618495558871,0.17555085458841,11.62871784604012,14.804386275533576,True
prod_grupo_de_suelo,2023_2024,validation,FES,1541,157454.74,176820.46096275124,19365.72096275125,0.1229923021863378,102.17698896820247,114.74397207186972,12.566983103667255,17.14318560881515,21.03058373485929,True
prod_grupo_de_suelo,2023_2024,validation,II/E,986,99093.53,106275.97331238996,7182.443312389965,0.07248145577607303,100.50053752535497,107.78496279147055,7.2844252661155835,14.50468428618394,18.01421357221092,True
prod_grupo_de_suelo,2023_2024,validation,III/S1 (TQ) (PR),972,106417.48,115573.96900385276,9156.489003852766,0.08604309182901876,109.48300411522634,118.90326029202959,9.420256176803262,16.321256815117696,20.493541968360407,True
prod_grupo_de_suelo,2023_2024,validation,II/S1 (PR),769,84171.79999999999,92216.17126620369,8044.3712662037,0.09557085943515169,109.45617685305591,119.91699774538841,10.460820892332505,16.302816407987873,20.6283034314077,True
prod_grupo_de_suelo,2023_2024,validation,III/S1,436,41318.009999999995,45295.44611444667,3977.4361144466748,0.09626398063330434,94.76607798165136,103.88863787717126,9.122559895519887,15.106275607495977,18.227888138841422,True
prod_grupo_de_suelo,2023_2024,validation,II/T1 S1 E (TF) (PL),394,38842.2,42804.32514624182,3962.125146241822,0.10200568315496605,98.58426395939085,108.64041915289802,10.056155193507164,17.146614587563224,20.830815599730805,True
prod_grupo_de_suelo,2023_2024,validation,I,294,32606.48,34392.20679229074,1785.7267922907376,0.054766009464705716,110.90639455782313,116.98029521187325,6.073900654050135,14.754882024415094,19.438736413340564,True
prod_grupo_de_suelo,2023_2024,validation,II/T1 S1 E,294,25912.699999999997,28195.06748290596,2282.3674829059637,0.08807910726809495,88.13843537414965,95.90159007791144,7.763154703761761,14.6048989518033,17.832625790447707,True
prod_grupo_de_suelo,2023_2024,validation,II/S1 (PL),149,13874.189999999999,15843.255840916741,1969.0658409167427,0.1419229404323238,93.11536912751677,106.33057611353517,13.215206986018405,18.655380074442142,22.96695706221302,True
prod_grupo_de_suelo,2023_2024,validation,IV/T2 (RI) (PL),135,10906.86,13183.128598711979,2276.2685987119785,0.2087006341616174,80.79155555555556,97.65280443490354,16.86124887934799,17.35098381420271,19.897665039414022,True
prod_grupo_de_suelo,2023_2024,validation,,77,7642.1,7958.232569990678,316.13256999067744,0.041367238061616234,99.24805194805195,103.35366974013867,4.1056177920867185,16.167765369476204,21.33734074445804,True
prod_grupo_de_suelo,2023_2024,validation,II/T1 E (PL),70,6428.960000000001,7219.032097455902,790.0720974559008,0.12289267586917646,91.84228571428572,103.12902996365574,11.286744249370031,14.33909413156407,19.361060904537688,True
prod_grupo_de_suelo,2023_2024,validation,IV/T2,70,5821.530000000001,6782.119146762997,960.5891467629963,0.1650063036285987,83.1647142857143,96.88741638232852,13.72270209661424,18.820639651881116,22.02699158353964,True
prod_grupo_de_suelo,2023_2024,validation,III/S4 (PR),15,1627.1100000000001,1616.1107563360588,-10.999243663941343,-0.006759987747565525,108.474,107.74071708907059,-0.7332829109294103,12.959833268704946,15.037478866741665,True
prod_ingenio,2023_2024,validation,SANTA ANA,2211,233373.25,262818.44444819423,29445.194448194234,0.1261721060498332,105.55099502487562,118.86858636281964,13.317591337944037,16.965371455610747,20.624019175481056,True
prod_ingenio,2023_2024,validation,PANTALEON,1107,113068.23000000001,120557.85136168847,7489.621361688463,0.06623983909262984,102.13932249322494,108.90501478020639,6.765692286981459,12.821482879495157,16.135697050136084,True
prod_ingenio,2023_2024,validation,TRINIDAD,1097,110502.38,124245.54990160506,13743.169901605055,0.12436989955877017,100.73143117593438,113.2593891536965,12.527957977762135,18.037649991882194,22.457416407017217,True
prod_ingenio,2023_2024,validation,MADRE TIERRA,677,70281.88,77498.58569298984,7216.705692989839,0.10268230862620406,103.81370753323486,114.47353868979297,10.65983115655813,15.172554729462858,18.967614822313898,True
prod_ingenio,2023_2024,validation,TULULA,511,49847.81,53675.291849603585,3827.4818496035878,0.07678335015326827,97.54953033268102,105.03971007750212,7.490179744821107,15.303015591405812,18.828025369261205,True
prod_ingenio,2023_2024,validation,PALO GORDO,435,37141.42,40278.13678665851,3136.716786658515,0.08445333502753839,85.38257471264367,92.5934179003644,7.21084318772072,15.494521985383125,19.41835442425438,True
prod_ingenio,2023_2024,validation,LA UNION,164,17902.72,15101.63905051746,-2801.0809494825407,-0.15646119413600507,109.1629268292683,92.08316494217964,-17.07976188708865,22.279919965597273,26.759195746774104,True
